Order_Month,Total_Orders,Avg_Sales,Avg_Benefit_per_order,Avg_Discount_Rate,Avg_Profit
1,5188,196.55287390299367,22.045348930756404,0.09976098740921459,22.045348
2,4687,196.73121990027244,20.28411777330559,0.1030232563999535,20.284117
3,5025,191.72343259251534,18.315305534767273,0.10181293583034876,18.315305
4,5084,197.14734464100644,22.568658522481904,0.10244885971146855,22.568658
5,5376,198.78465424513533,19.346714989104797,0.10157738149566631,19.346715
6,4999,201.07581716653084,22.267261518305194,0.10203240704030592,22.267261
7,5148,199.73152483908262,21.61851986448433,0.10377233933111785,21.618519
8,5457,202.31480883940336,22.158097898720364,0.10331867379183317,22.158097
9,5241,206.09479862104683,25.202936520432157,0.10173821837268664,25.202936
10,4213,248.521525210053,28.637061448967177,0.10285070073235326,28.637061
11,4203,214.41626421428992,21.92587202296012,0.1021889131697918,21.925871
12,4161,202.15295737857173,23.76525829290504,0.10224945978229076,23.765258
